# test comment
"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova_c_0.001.model","anova_c_0.001.p_value","anova_c_0.001.estimate","anova_c_0.001.std_err","anova_c_0.001.AIC","anova_c_1.model","anova_c_1.p_value","anova_c_1.estimate","anova_c_1.std_err","anova_c_1.AIC","anova_c_100000000.model","anova_c_100000000.p_value","anova_c_100000000.estimate","anova_c_100000000.std_err","anova_c_100000000.AIC","anova_c_10000.model","anova_c_10000.p_value","anova_c_10000.estimate","anova_c_10000.std_err","anova_c_10000.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",2216.55843788245,0.0202269856942481,8.64059310363649,2.34099780644352,20.227609501984,"anova",0.35491197339559,0.660802543580042,0.712627367803044,1218.4512988022,"anova",0.0045060603879352,0.714119934923245,0.248541481476035,797.111739233862,"anova",0.0202267104496812,2.02276097171625e-07,8.64057390901412e-08,-5151.71474827841,"anova",0.0177313762615299,0.0020219673939122,0.000845598686393561,-1476.2163235513,"tweedie",3771.24435764523,0.053801523154309,0.464468681242827,1.93998874842298,0.901064015605942,0,1.5,"quantile_regression",1951.43242268336,0.0437226597809217,6.08537070523089,-2.62695083244051,1.79769313486232e+308,2.99812675961604
"lm",2041.46936234805,0.000405953779452857,5.57754400973618,3.59741526478959,20.0647419606607,"anova",0.149882153564086,1.02239195480478,0.707264633537709,1215.42979589369,"anova",0.00694494758141987,0.646822253463514,0.237105189975074,778.269388493849,"anova",0.000405952704980776,2.00647260293607e-07,5.57753844312192e-08,-5326.80333444926,"anova",0.000396626100274452,0.00199032642508101,0.000552276669130325,-1646.61462282698,"tweedie",3094.58730240273,2.45954104824872e-05,0.28339562249839,4.32072325909927,1.22447405765571,0,1.5,"quantile_regression",1844.02049495767,0.00583759794380079,7.82675691499097,-1.79769313486232e+308,13.4791500766924,2.80830321952565
"lm",2160.03346212373,0.000434741115154098,7.50191849614628,3.57837644348152,26.8446884275281,"anova",0.00259629735593131,2.10845842962554,0.691153073844713,1206.21236533814,"anova",3.83075080355006e-06,1.09595522518002,0.230532696764803,767.024917144317,"anova",0.000434733676554488,2.68446590146519e-07,7.50190028788634e-08,-5208.23980631725,"anova",0.000368857449528564,0.00265556681757912,0.000732789026996095,-1533.49114032074,"tweedie",3075.97794877449,1.63022803703016e-05,0.337311852048459,4.41922683301455,1.49065758766638,0,1.5,"quantile_regression",1881.29756531114,0.00039978153589848,13.4991034377424,7.38588007058447,17.2446416995677,3.7480202347873
"lm",1954.24202569731,0.00507991018572099,4.48473853544289,2.83356218135182,12.7077855072821,"anova",0.896775093135488,-0.0903266891067113,0.695339845829977,1208.62812074611,"anova",0.147650318023834,0.330636953702343,0.227466358972307,761.668777526971,"anova",0.00507989862715298,1.27077766862273e-07,4.48473422393825e-08,-5414.03065643285,"anova",0.00498494709468853,0.00126156019418311,0.000444236858149827,-1733.69112219206,"tweedie",2871.36293818875,0.00131095852523199,0.286603221468762,3.26013474974006,0.934365121697756,0,1.5,"quantile_regression",1751.87423888529,0.532094271160782,-1.6324252069121,-2.73745445421638,1.79769313486232e+308,2.60807952943521
"lm",1901.92145870834,0.00687740609259826,3.93487367636652,2.73134270128958,10.7474884964402,"anova",0.805959475986458,-0.168003055664433,0.683019781869267,1201.47736454664,"anova",0.313276265623372,0.215981206158471,0.213642755381212,736.589936683123,"anova",0.00687739328915616,1.07474808750152e-07,3.93486996827399e-08,-5466.35121581932,"anova",0.00677606639544643,0.0010667710078856,0.000389842011779097,-1785.93765237011,"tweedie",2641.78154416348,0.000625243967652344,0.301079312572759,3.47606866635122,1.04657236452073,0,1.5,"quantile_regression",1647.262963014,1,0,-3.00481559981559,0,1.93807838090788
"lm",1991.26228962162,0.000680774644027325,4.91961785658612,3.45177934485053,16.9814353019218,"anova",0.844726104102554,-0.136659286190054,0.696854296008037,1209.4983733811,"anova",0.115089793177085,0.362116506813204,0.228799182733809,764.005710616602,"anova",0.000680772469625234,1.69814227570942e-07,4.91961291931973e-08,-5377.01040939448,"anova",0.000662234847582041,0.00168525362550537,0.000487113221724301,-1696.83564230825,"tweedie",2935.58842092537,2.14232495635372e-05,0.289676765649873,4.35398071542357,1.26124705134582,0,1.5,"quantile_regression",1769.34245581309,0.298220707344872,-1.97287212169161,-2.92648303516313,1.79769313486232e+308,1.89153857152393
"lm",1946.68738612422,0.0105460388827222,4.40083192677318,2.58195938995614,11.3627693169508,"anova",0.526633930667886,0.440827388717751,0.695010607045702,1208.43867855778,"anova",0.0452751628442505,0.455276635685633,0.225962985220133,759.016317062629,"anova",0.0105460177864209,1.13627628870184e-07,4.4008282192215e-08,-5421.5852484433,"anova",0.0103778020135553,0.00112933515746922,0.000436425042112049,-1740.78762170729,"tweedie",2918.19561639429,0.00693139039151792,0.310108387804656,2.728666214577,0.846182280659506,0,1.5,"quantile_regression",1743.12208009691,1,0,-1.69345342627868,6.88689824499285,2.2512141433263
"lm",2183.32378822682,0.000625768143983732,7.95169093737788,3.47583008568387,27.6387265921978,"anova",0.213396687224125,0.872339166551816,0.698823876041453,1210.62733355563,"anova",0.00211215757105167,0.744290417295471,0.238934192560971,781.343103237527,"anova",0.000625764200156484,2.76386937572637e-07,7.95167738579403e-08,-5184.94919105041,"anova",0.000589460956611391,0.00273128856166845,0.000781973254495237,-1507.50606056984,"tweedie",3288.59703152406,2.88388155263107e-05,0.307850074459128,4.28215153829714,1.31826066991005,0,1.5,"quantile_regression",1934.89545293174,0.0285119408479844,8.52407061689308,2.95056256476632,20.2167156211399,3.86348944150711
"lm",1998.46511092545,0.000374395585313047,5.00900808927178,3.61980558125447,18.1316354380948,"anova",0.130454786223526,1.07398600162673,0.707214584716987,1215.40148932257,"anova",0.00806524607108602,0.629455493607113,0.235186784013995,775.019845215561,"anova",0.000374394281391891,1.81316222481912e-07,5.00900311521104e-08,-5369.80758386493,"anova",0.000363147159789662,0.00179965980679153,0.000496017531962019,-1689.58976686977,"tweedie",2940.983626172,1.40382931008468e-05,0.261596469372515,4.45463864347176,1.16531774146258,0,1.5,"quantile_regression",1816.7983786742,0.00709679355114279,7.98502448314368,-2.57804159876658,11.5307686153921,2.9350432324944
"lm",2076.04358682442,0.0049208926231164,6.08109086864283,2.8441310143634,17.2954191406692,"anova",0.665177274190093,-0.309888931339581,0.714975716885996,1219.76726749197,"anova",0.27308780796317,0.270164132452333,0.245819642237018,792.70707776386,"anova",0.00492087952146837,1.72954068027776e-07,6.0810846415438e-08,-5292.22912036081,"anova",0.00480785334793467,0.00171676390954003,0.000601985720317751,-1612.14078613888,"tweedie",3414.01730261836,0.00405454904709185,0.331472514945007,2.90785138294951,0.963872810992592,0,1.5,"quantile_regression",1865.54628924746,1,0,-3.98151745020056,0,2.85578754482883
