# test comment
"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","anova.AIC","anova_c_10000.model","anova_c_10000.p_value","anova_c_10000.estimate","anova_c_10000.std_err","anova_c_10000.AIC","anova_c_100.model","anova_c_100.p_value","anova_c_100.estimate","anova_c_100.std_err","anova_c_100.AIC","anova_c_10.model","anova_c_10.p_value","anova_c_10.estimate","anova_c_10.std_err","anova_c_10.AIC","anova_c_0.5.model","anova_c_0.5.p_value","anova_c_0.5.estimate","anova_c_0.5.std_err","anova_c_0.5.AIC","anova_c_100000000.model","anova_c_100000000.p_value","anova_c_100000000.estimate","anova_c_100000000.std_err","anova_c_100000000.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",1975.51825359247,0.0100835991511623,4.7297425222938,2.59793019440397,12.2875409104235,"anova",1.83371438464091e-06,0.989362146251681,0.201175778944387,712.539454803459,"anova",0.00974798134189637,0.00122250425051564,0.000468403566371804,-1712.50217773311,"anova",0.00134132456840433,0.0902658804939854,0.0277460957657123,-79.8941095293564,"anova",3.1689432071853e-05,0.401577883772038,0.0942851268095977,409.397217659323,"anova",1.07886572963207e-06,1.20028674640759,0.238458750294212,780.546371855443,"anova",0.0100835643942143,1.22875346337303e-07,4.72973787632002e-08,-5392.75443690425,"tweedie",2669.68872985264,0.0104694663249208,0.316954963818719,2.58455995832854,0.819189108079334,0,1.5,"quantile_regression",1745.41380183163,1.22011623044926e-05,10.1797248211209,5.04624078146929,13.5943216953644,2.26837632956096
"lm",1803.70657311724,0.0143136225956788,3.0781893932718,2.47112239058153,7.60658273216452,"anova",5.79455067001804e-07,0.988656355439942,0.191352941719224,692.515669705358,"anova",0.0138965325892207,0.00075993679929919,0.000306177493018916,-1882.56828545363,"anova",0.0019881333988267,0.0676441108793682,0.0215857718776367,-180.318409085211,"anova",2.18722981284438e-05,0.36954881615361,0.0849733532247071,367.802921950967,"anova",3.50252620675571e-07,1.20576599441051,0.228678059739551,763.793900304143,"anova",0.0143135781038907,7.60658217750569e-08,3.07818774042544e-08,-5564.5659392454,"tweedie",2345.97886080846,0.0243146193272543,0.272170069587909,2.26951556684612,0.61769420975935,0,1.5,"quantile_regression",1643.29742117131,6.27584984869145e-06,9.98690441518963,5.37313319312947,12.7354724162858,2.15147804517488
"lm",1677.58038628574,3.5377168345007e-06,2.24571980967654,4.77190939240726,10.7163714525105,"anova",2.10342648724846e-08,1.0878519613814,0.186251196481243,681.706348123702,"anova",3.46423648175202e-06,0.00106904876867194,0.000223808543527902,-2007.91788799554,"anova",8.95966038729241e-07,0.0886845159124552,0.0174797138773573,-264.715763787581,"anova",6.11367550757577e-08,0.441747078863488,0.0784651704862781,335.929770906661,"anova",2.61379013124342e-08,1.29838882851541,0.223927890920121,755.397469401519,"anova",3.53770746264392e-06,1.07163690635574e-07,2.24571902904299e-08,-5690.69205033903,"tweedie",2065.61228417851,2.12370493745378e-06,0.194269302845998,4.88555340068874,0.949113053168696,0,1.5,"quantile_regression",1605.62748725576,6.61566949511361e-06,11.4022837601786,7.45226858470026,1.79769313486232e+308,2.46280987831823
"lm",2095.27015836692,0.00319948654152426,6.38052592870368,2.98436995522046,19.0418498801284,"anova",1.19453826446017e-08,1.12611161298346,0.189242633381202,688.07982209572,"anova",0.00284483121580188,0.00188274832853117,0.000623060227938537,-1598.37700071953,"anova",1.57174839681157e-05,0.120042383026342,0.0271104654509654,-89.1642314599967,"anova",4.41516647005917e-08,0.49464614306349,0.0868601375731291,376.587519985735,"anova",1.66559006083881e-08,1.33141348478376,0.226190455546125,759.418782818142,"anova",0.00319944780916014,1.90418280987179e-07,6.38051035040749e-08,-5273.0031158304,"tweedie",2487.13343323733,2.73731670483175e-05,0.368058820476904,4.29482019863947,1.58074645647163,0,1.5,"quantile_regression",1711.22452185384,1.32611075009947e-05,8.8057928388309,5.32463560866873,11.2589886839945,1.97082556800907
"lm",1761.55597262305,0.00313529291304229,2.77032616832661,2.9908483425235,8.28562542878914,"anova",0.000808348393379207,0.668393706164992,0.196450828162325,703.032700257865,"anova",0.00311264778487164,0.000825928165262263,0.000275938272594661,-1924.16339971515,"anova",0.00195514037569665,0.0652849719210121,0.0207987439556563,-195.175125141406,"anova",0.000877063807684188,0.294623861385211,0.0872010832800216,378.154537113462,"anova",0.000934382720539846,0.786432453355963,0.234042330723002,773.068635413072,"anova",0.00313529058328801,8.28562278019951e-08,2.77032506293999e-08,-5606.71648456175,"tweedie",2269.55655574479,0.00256118557189365,0.213586796713408,3.05492000732575,0.65249057858041,0,1.5,"quantile_regression",1666.45344889706,0.0822233785721225,4.49805656872414,2.52075443820459,7.90424955604117,2.57503284249094
"lm",2076.50067088903,0.0970533021138739,6.08804376478748,1.6672113011987,10.150055366846,"anova",1.34362365836096e-06,0.978004561297639,0.19615352059365,702.426883992308,"anova",0.0936403519021582,0.00100864604838198,0.000598743291081631,-1614.30109847361,"anova",0.00873842093427211,0.07723342596203,0.0291618465066524,-59.9876730324466,"anova",3.40570746336039e-05,0.385927066082792,0.0909868802880692,395.1539649897,"anova",1.13241741643363e-06,1.17821591983312,0.234562401659077,773.95649866099,"anova",0.0970529386934767,1.01500492544778e-07,6.08803343179458e-08,-5291.77230559648,"tweedie",2877.13003734192,0.106963355003765,0.455704689589673,1.6193514003165,0.737946027217832,0,1.5,"quantile_regression",1711.99330083456,1.25758781921448e-06,8.24134822226446,7.48872807091436,10.2499710187467,1.64816996842049
"lm",1712.48555205149,0.000101527581591293,2.45049246905964,3.96741689222306,9.72212521601262,"anova",4.62215852408153e-07,0.929489439390892,0.178251166833503,664.145277733337,"anova",9.92356145183162e-05,0.000969179527881105,0.000243923527594766,-1973.49237011983,"anova",2.3998600449433e-05,0.0774927690758641,0.0179105559826879,-254.976060902612,"anova",1.65557743717233e-06,0.37402213214469,0.0757080190444193,321.62147029498,"anova",4.73034453592935e-07,1.11744375195273,0.21449654910429,738.185295662651,"anova",0.000101527320003578,9.72212232867907e-08,2.45049133156324e-08,-5655.78693120588,"tweedie",2015.42963399838,2.18029625172321e-05,0.214097378900743,4.34975965128913,0.931272140189211,0,1.5,"quantile_regression",1579.07032370594,0.000189154595958252,7.57294252697701,4.31390156429786,12.3585895557663,1.99042843524887
"lm",1774.1284832702,3.83150680737915e-05,2.85878394450918,4.2126462706893,12.043045522543,"anova",3.74565419686393e-11,1.28194272465292,0.182974127657767,674.605741174813,"anova",3.58978853423051e-05,0.00120238787402763,0.000284342332626602,-1912.16271245828,"anova",8.54882360733497e-07,0.102648208774407,0.0201918238100327,-207.021060160301,"anova",1.66756675368589e-09,0.511054890072973,0.0808222990460588,347.768997901884,"anova",2.7780490660834e-11,1.54740695149817,0.219233873949354,746.923466633994,"anova",3.83148062757196e-05,1.20430438020705e-07,2.85878239480859e-08,-5594.14403114434,"tweedie",2236.62790174385,0.000679300350623188,0.3373168746745,3.45239982380979,1.16455271869431,0,1.5,"quantile_regression",1606.57960059616,1.40323687705113e-05,9.01189017479338,7.06438045545381,10.7968625189133,2.02298979761055
"lm",1875.48621811224,0.0453531223996369,3.68323218299632,2.01409188779475,7.41836806063745,"anova",9.48430317160382e-10,1.19620893905398,0.186109474615015,681.401865112317,"anova",0.0434983314481133,0.000743038554420206,0.000365684105103811,-1811.52633202645,"anova",0.00223883243837466,0.073605065590229,0.0237667942556875,-141.816401540165,"anova",8.06113185139081e-07,0.440643891490952,0.0864643073839791,374.760514557138,"anova",4.14955216100072e-10,1.45310813622222,0.220893078208823,749.939345777767,"anova",0.0453529222296565,7.41836965409727e-08,3.68322951848833e-08,-5492.78636883509,"tweedie",2457.19696754624,0.0753119019871581,0.304546903051071,1.78795861405177,0.544517258692951,0,1.5,"quantile_regression",1663.83472894357,5.83053947345036e-08,11.2480423794585,8.06931464934393,12.6218752228816,1.99456914836378
"lm",1808.16792708384,0.0038998147813566,3.11271379851472,2.92052684221814,9.09076420070502,"anova",2.36618090488429e-07,0.970224558862512,0.181200952980201,670.710496751016,"anova",0.00374211061680764,0.000905260711137879,0.000308549018987535,-1879.48198585525,"anova",0.000339096695410195,0.0712555279102978,0.0195377929801416,-220.191887828154,"anova",5.54403919290124e-06,0.360896408442071,0.0772759837784363,329.821123129166,"anova",1.37235890006903e-07,1.19323353649016,0.218284520045703,745.187575468492,"anova",0.0038997973942224,9.09076061766959e-08,3.11271102626575e-08,-5560.10472674575,"tweedie",2170.41119311782,0.00208131052281377,0.298256529335846,3.11959598057132,0.930439870095255,0,1.5,"quantile_regression",1573.7325164225,4.18237726755866e-05,7.15007663421454,3.66494459483055,8.36245438448358,1.70603950804436
